,Address,Bathrooms,Bedrooms,Home Size,Lat,Lon,Property Size,Year Built,Zestimate,Zipcode,count_zillow,latitude,longitude,review_count,stars,count_yelp,avg_review,avg_stars,lat,lon,count_school,enrollment,private_school,public_school,charter_school,total_school
1837,2410 N 38TH PL,1.0,3.0,1801.0,33.47,-112.0,7845.0,1955.0,337584.0,85008,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1838,4145 W RUTH AVE,2.0,3.0,1654.0,33.56,-112.15,7706.0,1976.0,218511.0,85051,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839,2508 E AVALON DR,3.0,4.0,2180.0,33.48,-112.03,9396.0,2018.0,384556.0,85016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1840,1906 E LINGER LN,3.0,5.0,2463.0,33.55,-112.04,0.0,1979.0,485608.0,85020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1841,3469 E THUNDERBIRD RD,2.0,0.0,1240.0,33.61,-112.01,7079.0,1970.0,219649.0,85032,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1842,20401 N 3RD DR,2.0,2.0,1000.0,33.67,-112.08,1085.0,1984.0,153450.0,85027,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1843,4712 N 47TH AVE,1.5,3.0,1116.0,33.51,-112.16,6024.0,1955.0,160725.0,85031,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1844,2144 E PIERCE ST,1.0,0.0,634.0,33.46,-112.03,5959.0,1943.0,110331.0,85006,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1845,7031 S 24TH PL,3.67,0.0,2836.0,33.38,-112.03,6325.0,2000.0,376125.0,85042,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1846,25308 N 51ST DR,4.67,0.0,4070.0,33.72,-112.17,9555.0,2005.0,459182.0,85083,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1847,2150 W ALAMEDA RD,2.5,2.0,1100.0,33.71,-112.11,1193.0,2015.0,211832.0,85085,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1848,117 E CAMPO BELLO DR,2.0,2.0,1256.0,33.64,-112.07,4223.0,1983.0,222758.0,85022,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1849,2048 W HAZELWOOD PKWY,2.5,3.0,1656.0,33.51,-112.1,2186.0,1967.0,147847.0,85015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.51,-112.1,3.0,1023.0,0.0,0.0,3.0,3.0
1850,3336 W ORCHID LN,0.0,3.0,1500.0,33.56,-112.13,7375.0,1960.0,184901.0,85051,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.56,-112.13,2.0,886.0,0.0,1.0,1.0,2.0
1851,6321 W SUPERIOR AVE,2.0,0.0,1435.0,33.42,-112.2,4950.0,2002.0,188491.0,85043,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
