name,type,gradeRange,enrollment,city,state,address,lat,lon,parentRating
Paradise Valley Christian Prep,private,PK-12,365,Phoenix,AZ,"11875 N 24th St, 
Phoenix, AZ  85028",33.595383,-112.02937
Hidden Hills Elementary School,public,PK-6,501,Phoenix,AZ,"1919 East Sharon Dr, 
Phoenix, AZ  85022",33.6109,-112.0423,4
Ombudsman - Charter Metro,charter,9-12,66,Phoenix,AZ,"4220 West Northern Ave, 
Phoenix, AZ  85051",33.5533,-112.1491
Emmaus Lutheran School,private,PK-8,80,Phoenix,AZ,"3841 W Sweetwater Ave, 
Phoenix, AZ  85029",33.603046,-112.14187,4
Solano School,public,PK-8,613,Phoenix,AZ,"1526 West Missouri Ave, 
Phoenix, AZ  85015",33.5178,-112.0921,3
Shea Middle School,public,7-8,641,Phoenix,AZ,"2728 E. Shea Blvd., 
Phoenix, AZ  85028",33.5823,-112.0237
Cheder Lubavitch Arizona,private,"1, 3",20,Phoenix,AZ,"2110 E Lincoln Dr., 
Phoenix, AZ  85016",33.538998,-112.03611
Ethos Academy - A Challenge Foundation Academy,charter,K-7,350,Glendale,AZ,"8840 N. 43rd Avenue, 
Glendale, AZ  85302",33.565395,-112.15316
Mercury Mine Elementary School,public,PK-6,540,Phoenix,AZ,"9640 North 28th St, 
Phoenix, AZ  85028",33.573868,-112.022095
Montebello School,public,K-8,1387,Phoenix,AZ,"5725 North 27th Ave, 
Phoenix, AZ  85017",33.5224,-112.1162,3
Bennett Academy,charter,K-8,228,Phoenix,AZ,"2930 West Bethany Home Rd, 
Phoenix, AZ  85017",33.5248,-112.1229
Great Hearts Academies - Veritas Prep,charter,6-12,688,Phoenix,AZ,"3102 N. 56th St., 
Phoenix, AZ  85016",33.53768,-112.035645
Chaparral Elementary School,public,PK-6,500,Phoenix,AZ,"3808 West Joan D`Arc, 
Phoenix, AZ  85029",33.6081,-112.1401,4
Desert Cove Elementary School,charter,K-6,523,Phoenix,AZ,"11020 North 28th St, 
Phoenix, AZ  85028",33.5866,-112.0226
Larkspur Elementary School,charter,K-6,517,Phoenix,AZ,"2430 East Larkspur, 
Phoenix, AZ  85032",33.6012,-112.0295
Holy Trinity Academy,private,PK-3,36,Phoenix,AZ,"1973 East Maryland Avenue, 
Phoenix, AZ  85016",33.530888,-112.039734
